21,15/16,AS Monaco,2
32,15/16,Everton,3
35,15/16,Olympique de Marseille,2
23,15/16,Valencia CF,0
20,15/16,Lazio,4
48,15/16,Sevilla FC,0
26,15/16,Real Sociedad,0
49,15/16,Shakhtar Donetsk,11
71,15/16,Ajax,14
63,15/16,Borussia Mönchengladbach,1
72,15/16,Torino,4
25,15/16,PFC CSKA Moscow,6
24,15/16,Milan,4
16,15/16,Fiorentina,4
94,15/16,RC Celta,0
120,15/16,Genoa,4
41,15/16,Sporting CP,7
39,15/16,Villarreal CF,0
29,15/16,Stoke City,3
62,15/16,Málaga CF,0
36,15/16,,8
80,15/16,Stade Rennais FC,2
112,15/16,Sampdoria,4
43,15/16,Beşiktaş JK,5
137,15/16,Montreal Impact,10
579,15/16,Orlando City SC,10
56,15/16,LOSC Lille,2
166,15/16,Tigres U.A.N.L.,12
45,15/16,Seattle Sounders FC,10
40,15/16,Swansea City,3
51,15/16,Southampton,3
64,15/16,West Ham United,3
60,15/16,Toronto FC,10
55,15/16,Spartak Moscow,6
38,15/16,TSG 1899 Hoffenheim,1
77,15/16,Sassuolo,4
65,15/16,Newcastle United,3
75,15/16,West Bromwich Albion,3
66,15/16,Hannover 96,1
57,15/16,Trabzonspor,5
42,15/16,FC Girondins de Bordeaux,2
47,15/16,Dinamo Moscow,6
44,15/16,Brøndby IF,9
85,15/16,Leicester City,3
91,15/16,Rayo Vallecano,0
46,15/16,Lokomotiv Moscow,6
76,15/16,PSV,14
127,15/16,Bursaspor,5
78,15/16,Olympiacos CFP,15
111,15/16,1. FC Köln,1
70,15/16,VfB Stuttgart,1
418,15/16,Kalmar FF,32
242,15/16,Bournemouth,3
107,15/16,Stade de Reims,2
79,15/16,FC Krasnodar,6
190,15/16,Palermo,4
238,15/16,Independiente,18
125,15/16,SV Werder Bremen,1
580,15/16,Antalyaspor,5
110,15/16,Sunderland,3
82,15/16,Real Betis,0
83,15/16,Udinese,4
52,15/16,Eintracht Frankfurt,1
33,15/16,Hamburger SV,1
106,15/16,FC Augsburg,1
86,15/16,Racing Club,18
135,15/16,OGC Nice,2
108,15/16,Atalanta,4
155,15/16,Crystal Palace,3
93,15/16,FC Nantes,2
50,15/16,Aston Villa,3
119,15/16,1. FSV Mainz 05,1
90,15/16,SC Braga,7
95,15/16,Toulouse Football Club,2
104,15/16,Levante UD,0
310,15/16,Bologna,4
191,15/16,Watford,3
54,15/16,RCD Espanyol,0
69,15/16,Hertha BSC,1
282,15/16,Os Belenenses,7
97,15/16,Kaizer Chiefs,22
149,15/16,Deportivo de La Coruña,0
113,15/16,Feyenoord,14
84,15/16,Jeonbuk Hyundai Motors,17
109,15/16,Montpellier HSC,2
176,15/16,Club Brugge KV,24
136,15/16,Columbus Crew SC,10
325,15/16,Moreirense FC,7
156,15/16,Monterrey,12
114,15/16,Portland Timbers,10
67,15/16,Getafe CF,0
115,15/16,Panathinaikos FC,15
99,15/16,Norwich City,3
123,15/16,Cardiff City,19
124,15/16,RSC Anderlecht,24
169,15/16,CD Nacional,7
153,15/16,FC Twente,14
143,15/16,Chievo Verona,4
68,15/16,Queens Park Rangers,19
182,15/16,Rio Ave FC,7
237,15/16,Clube Sport Marítimo,7
98,15/16,Kuban Krasnodar,6
197,15/16,Sheffield Wednesday,19
259,15/16,Empoli,4
129,15/16,FC Basel 1893,25
255,15/16,Santos Laguna,12
88,15/16,Fulham,19
130,15/16,Hellas Verona,4
297,15/16,Santiago Wanderers,27
132,15/16,Colo-Colo,27
102,15/16,Newell's Old Boys,18
105,15/16,New England Revolution,10
74,15/16,Hull City,19
142,15/16,River Plate,18
141,15/16,San Lorenzo de Almagro,18
87,15/16,Granada CF,0
134,15/16,Club América,12
227,15/16,Deportivo Toluca,12
195,15/16,Al Ahli,20
363,15/16,Boavista FC,7
192,15/16,FC Rostov,6
116,15/16,Sivasspor,5
138,15/16,Vancouver Whitecaps FC,10
152,15/16,Vitesse,14
246,15/16,Real Sporting de Gijón,0
157,15/16,FC Lorient,2
171,15/16,Vitória Guimarães,7
395,15/16,FC Midtjylland,9
214,15/16,UD Las Palmas,0
161,15/16,PAOK,15
178,15/16,Orlando Pirates,22
263,15/16,Monarcas Morelia,12
187,15/16,Club León,12
229,15/16,Stade Malherbe Caen,2
128,15/16,Real Salt Lake,10
230,15/16,Philadelphia Union,10
122,15/16,Celtic,23
168,15/16,En Avant de Guingamp,2
354,15/16,AS Nancy Lorraine,33
139,15/16,Rubin Kazan,6
162,15/16,Cruz Azul,12
163,15/16,Club Tijuana,12
140,15/16,Al Nassr,20
165,15/16,Kasimpaşa SK,5
284,15/16,Carpi,4
384,15/16,Frosinone,4
117,15/16,Al Shabab,20
364,15/16,Brentford,19
158,15/16,SD Eibar,0
89,15/16,Al Hilal,20
92,15/16,FC Red Bull Salzburg,21
154,15/16,FC Utrecht,14
244,15/16,FC Paços de Ferreira,7
581,15/16,Kayserispor,5
410,15/16,Jeonnam Dragons,17
247,15/16,FC Dallas,10
254,15/16,Reading,19
296,15/16,SC Heerenveen,14
265,15/16,CD Tenerife,16
